id,category,price,description,brand,rating,name
1,produce,0.99,Delicious orange stick of the earth,Forganic,3,carrot
2,produce,2.99,Not an egg a plant,Forganic,2,eggplant
3,produce,0.49,Green and leafy,Forganic,5,cilantro
4,produce,1,Round,Forganic,1,potatoe
5,produce,1.99,smelly and round,Forganic,4,onion
6,produce,2.99,sweet,Forganic,2,apple
7,produce,0.39,juicy,Forganic,1,peach
8,produce,0.69,firm,Forganic,4,grape
9,produce,1.09,ripe,Forganic,2,banana
10,produce,4.99,leafy,TerrasTreats,2,lettuce
11,produce,3.29,leafy and weird,TerrasTreats,3,chard
12,produce,1.69,spicy,TerrasTreats,4,jalapeno
13,produce,7.59,smoky,TerrasTreats,5,anaheim pepper
14,produce,4.99,bland,TerrasTreats,5,cauliflower
15,produce,1.99,green,TerrasTreats,2,broccoli
16,produce,0.59,pointy,TerrasTreats,3,artichoke
17,produce,0.79,red,TerrasTreats,1,tomato
18,produce,0.99,pungent,TerrasTreats,3,garlic
19,produce,1.29,soft,TerrasTreats,5,avacado
20,alcohol,26.99,hoppy,PotentPotables,1,Dogfish
21,alcohol,19.99,hoppy,PotentPotables,2,3 Stars
22,alcohol,15.99,hoppy,PotentPotables,3,corona
23,alcohol,5.99,hoppy,PotentPotables,4,tecate
24,alcohol,8.99,hoppy,PotentPotables,5,coors
25,alcohol,12.99,crisp,PotentPotables,1,bud
26,alcohol,10.99,crisp,PotentPotables,2,stella artois
27,alcohol,3.99,crisp,PotentPotables,3,dales
28,alcohol,1.99,crisp,PotentPotables,4,old chub
29,alcohol,199.99,crisp,PotentPotables,5,samurai
30,alcohol,1999.99,luxorious,Luxor,5,krystal
31,alcohol,30.99,robust,Happy Valley Vineyards,1,merlot
32,alcohol,32.99,robust,Happy Valley Vineyards,2,pinot noir
33,alcohol,10.99,robust,Happy Valley Vineyards,3,
34,alcohol,12.99,robust,Happy Valley Vineyards,4,
35,alcohol,15.99,robust,Happy Valley Vineyards,4,
36,alcohol,13.99,robust,Happy Valley Vineyards,5,
37,alcohol,12.99,robust,Happy Valley Vineyards,1,
38,alcohol,5.99,robust,Happy Valley Vineyards,2,
39,alcohol,6.99,robust,Happy Valley Vineyards,3,
40,cheese,27.99,runny,Grannd Fromage,4,brie
41,cheese,12.99,Robust,Forage Me,4,Cheddar
42,cheese,,,Grannd Fromage,3,Cheddar
43,cheese,,,Grannd Fromage,4,Gouda
44,cheese,,,Grannd Fromage,2,Brie
45,cheese,,,Hill Valley,5,Cheddar
46,cheese,,,Hill Valley,1,Gouda
47,cheese,,,Forage Me,3,Brie
48,cheese,,,Forage Me,4,Cheddar
49,cheese,,,Hill Valley,5,Brie
50,cheese,,,Red Run Ranch,1,Cheddar
51,cheese,,,Raft Cheeses,3,Brie
52,cheese,,,Red Run,3,Cheddar
53,cheese,,,Raft Cheeses,1,Brie
54,cheese,,,Red Run Valley,3,Cheddar
55,cheese,,,Forage Me,4,Cheddar
56,cheese,,,Raft Valley Cheeses,5,Brie
57,cheese,,,Brie Coul,4,Gouda
58,cheese,,,Red Run Valley,4,Gouda
59,cheese,,,Red Run Valley,2,Cheddar
60,fish,,,River Run,1,Trout
61,fish,,,River Run,2,Bass
62,fish,,,River Run,3,Trout
63,fish,,,River Run,5,Honey Baked Salmon
64,fish,,,River Run,3,Honey Baked Salmon
65,fish,,,Freshwater Reserves,2,Trout
66,fish,,,Freshwater Reserves,4,Bass
67,fish,,,Freshwater Reserves,2,Trout
68,fish,,,Freshwater Reserves,4,Honey Baked Salmon
69,fish,,,Freshwater Reserves,3,River Trout
70,fish,,,Freshwater Reserves,4,Fresh Trout
71,fish,,,Freshwater Reserves,4,Pond Perch
72,fish,,,Scaleable Fisheries,3,Pond Carp
73,fish,,,Scaleable Fisheries,2,Honey Smoked Salmon
74,fish,,,Scaleable Fisheries,2,Honey Smoked Salmon
75,fish,,,Scaleable Fisheries,1,Freshwater Carp
76,fish,,,Scaleable Fisheries,2,River Trout
77,fish,,,Scaleable Fisheries,3,Bass
78,fish,,,Scaleable Fisheries,4,Trout
79,fish,,,Scaleable Fisheries,3,Honey Baked Salmon
80,meat,,,Red Run Ranch,2,Beef
81,meat,,,Red Run Ranch,3,Chicken
82,meat,,,Red Run Ranch,4,Chicken
83,meat,,,Red Run Ranch,2,Chicken
84,meat,,,Red Run Ranch,3,Chicken
85,meat,,,Red Run Ranch,4,Chicken
86,meat,,,Red Run Ranch,3,Chicken Tenders
87,meat,,,Red Run Ranch,3,Chicken Breast
88,meat,,,Private Ranch Select,2,Chicken Breast (Boneless)
89,meat,,,Private Ranch Select,2,Chicken Feet
90,meat,,,Private Ranch Select,3,Chicken Wing
91,meat,,,Private Ranch Select,3,Chicken Wing
92,meat,,,Private Ranch Select,4,Boneless Chicken Wing
93,meat,,,Private Ranch Select,2,Ground Beef (2 lb)
94,meat,,,Private Ranch Select,3,Ground Turkey (2 lb)
95,meat,,,Private Ranch Select,4,Ground Lean Turkey(1 lb)
96,meat,,,Private Ranch Select,4,Ground Lean Beef (1 lb)
97,meat,,,Old World Meats,2,Cheddar Stuffed Gourmet Hamburger Patty (2)
98,meat,,,Cattle Ltd. Private Selection,1,Petite Beef Sirloin (Private Selection)
99,meat,,,Cattle Ltd.,3,Summer Sausage (1 lb)
